Country,id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,wikipedia_bio
fr,Q312026,Georges,Bidault,1899-10-05,1983-01-27,Moulins,https://fr.wikipedia.org/wiki/Georges_Bidault,1946-06-24,1946-10-14,"Georges Bidault, né le 5 octobre 1899 à Moulins (Allier) et mort le 27 janvier 1983 à Cambo-les-Bains (Pyrénées-Atlantiques), est un résistant et homme d'État français."
fr,Q315656,Jean,Casimir-Perier,1847-11-08,1907-03-11,Paris,https://fr.wikipedia.org/wiki/Jean_Casimir-Perier,1894-06-27,1895-01-16,"Les informations figurant dans cet article ou cette section doivent être reliées aux sources mentionnées dans les sections «Bibliographie», «Sources» ou «Liens externes» (août 2025)."
fr,Q356032,Charles,Dupuy,1851-11-05,1923-07-23,Le Puy-en-Velay,https://fr.wikipedia.org/wiki/Charles_Dupuy,1894-06-25,1894-06-27,"Charles Dupuy, né le 5 novembre 1851 au Puy-en-Velay et mort le 23 juillet 1923 à Ille-sur-Têt, est un homme d'État français. Il occupe à plusieurs reprises la fonction de président du Conseil sous la IIIe République, entre 1893 et 1899. Il est également président de la Chambre des députés de 1893 à 1894."
fr,Q379702,Louis,Cavaignac,1802-10-15,1857-10-28,Paris,https://fr.wikipedia.org/wiki/Eug%C3%A8ne_Cavaignac,1848-06-28,1848-12-20,"Cet article concerne l'homme politique. Pour son petit-fils historien, voir Eugène Cavaignac (historien)."
fr,Q441235,Louis,None,1815-03-12,1896-10-07,Le Palais,https://fr.wikipedia.org/wiki/Louis_Jules_Trochu,1870-09-04,1871-01-22,"Louis Jules Trochu, né au Palais à Belle-Île-en-Mer (Morbihan) le 12 mars 1815 et mort à Tours (Indre-et-Loire) le 7 octobre 1896, est un général de division et homme d'État français sous le Second Empire."
fr,Q459212,Frédéric,None,1874-03-16,1958-05-20,Paris,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Fran%C3%A7ois-Marsal,1924-06-11,1924-06-13,"Frédéric François-Marsal, né le 16 mars 1874 à Paris 8e (Seine) et mort le 20 mai 1958 à Gisors (Eure), est un homme d'affaires et un homme politique français de la droite républicaine, dont la carrière politique a culminé avec son bref passage à la présidence du Conseil en 1924."
fr,Q3052772,Emmanuel,Macron,1977-12-21,,Amiens,https://fr.wikipedia.org/wiki/Emmanuel_Macron,2017-05-14,,"Emmanuel Macron , né le 21 décembre 1977 à Amiens (Somme), est un homme d'État français. Il est président de la République française à partir du 14 mai 2017."
us,Q23,George,Washington,1732-02-22,1799-12-14,Westmoreland County,https://en.wikipedia.org/wiki/George_Washington,1789-04-30,1797-03-04,"George Washington (February 22, 1732 – December 14, 1799) was a Founding Father and the first president of the United States, serving from 1789 to 1797. As commander of the Continental Army, Washington led Patriot forces to victory in the American Revolutionary War against the British Empire. He is commonly known as the Father of His Country for his role in bringing about American independence."
us,Q76,Barack,Obama,1961-08-04,,Kapiolani Medical Center for Women and Children,https://en.wikipedia.org/wiki/Barack_Obama,2009-01-20,2017-01-20,"Barack Hussein Obama II (born August 4, 1961) is an American politician who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, he was the first African American president. Obama previously served as a U.S. senator representing Illinois from 2005 to 2008 and as an Illinois state senator from 1997 to 2004."
us,Q91,Abraham,Lincoln,1809-02-12,1865-04-15,Sinking Spring Farm,https://en.wikipedia.org/wiki/Abraham_Lincoln,1861-03-04,1865-04-15,"Abraham Lincoln (February 12, 1809– April 15, 1865) was the 16th president of the United States, serving from 1861 until his assassination in 1865. He led the United States through the American Civil War, defeating the Confederacy and playing a major role in the abolition of slavery."
us,Q207,George,Bush,1946-07-06,,New Haven,https://en.wikipedia.org/wiki/George_W._Bush,2001-01-20,2009-01-20,"George Walker Bush (born July 6, 1946) is an American politician, businessman, and former United States Air Force officer who was the 43rd president of the United States, serving from 2001 to 2009. The eldest son of George H. W. Bush, the 41st president of the United States, he was the governor of Texas from 1995 to 2000."
us,Q1124,Bill,Clinton,1946-08-19,,Hope,https://en.wikipedia.org/wiki/Bill_Clinton,1993-01-20,2001-01-20,"William Jefferson Clinton (néBlythe III; born August 19, 1946) is an American politician and lawyer who served as the 42nd president of the United States from 1993 to 2001. A member of the Democratic Party, he previously served as the attorney general of Arkansas from 1977 to 1979 and as the governor of Arkansas from 1979 to 1981, and again from 1983 to 1992. His centrist ""Third Way"" political philosophy became known as Clintonism, which dominated his presidency and the succeeding decades of Democratic Party history."
us,Q6279,Joe,Biden,1942-11-20,,St. Mary's Hospital,https://en.wikipedia.org/wiki/Joe_Biden,2021-01-20,,"Joseph Robinette Biden Jr. (born November 20, 1942) is an American retired politician who was the 46th president of the United States from 2021 to 2025. A member of the Democratic Party, he represented Delaware in the United States Senate from 1973 to 2009 and also served as the 47th vice president under President Barack Obama from 2009 to 2017."
us,Q8007,Franklin,Roosevelt,1882-01-30,1945-04-12,Hyde Park,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1933-03-04,1945-04-12,"Franklin Delano Roosevelt (January 30, 1882– April 12, 1945), also known as FDR, was the 32nd president of the United States, serving from 1933 until his death in 1945. He is the longest-serving US president and the only one to have served more than two terms. His first two terms were centered on combating the Great Depression, while his third and fourth focused on US involvement in World War II. A member of the Democratic Party, Roosevelt served in the New York State Senate from 1911 to 1913 and as the 44th governor of New York from 1929 to 1932."
us,Q8612,Andrew,Johnson,1808-12-29,1875-07-31,Raleigh,https://en.wikipedia.org/wiki/Andrew_Johnson,1865-04-15,1869-03-04,"Andrew Johnson (December 29, 1808– July 31, 1875) was the 17th president of the United States, serving from 1865 to 1869. The 16th vice president, he assumed the presidency following the assassination of Abraham Lincoln. Johnson was a War Democrat who ran with Lincoln on the National Union Party ticket in the 1864 presidential election, coming to office as the American Civil War concluded. Johnson favored quick restoration of the seceded states to the Union without protection for the newly freed people who were formerly enslaved, as well as pardoning ex-Confederates. This led to conflict with the Republican Party-dominated U.S. Congress, culminating in his impeachment by the House of Representatives in 1868. He was acquitted in the Senate by one vote."
us,Q9582,Gerald,Ford,1913-07-14,2006-12-26,Omaha,https://en.wikipedia.org/wiki/Gerald_Ford,1974-08-09,1977-01-20,"Gerald Rudolph Ford Jr. (born Leslie Lynch King Jr.; July 14, 1913– December 26, 2006) was the 38th president of the United States, serving from 1974 to 1977. He assumed the presidency after the resignation of Richard Nixon, under whom he served as the 40th vice president from 1973 to 1974, after the resignation of Spiro Agnew. A member of the Republican Party, Ford previously served in the U.S. House of Representatives from 1949 to 1973."
us,Q9588,Richard,Nixon,1913-01-09,1994-04-22,Yorba Linda,https://en.wikipedia.org/wiki/Richard_Nixon,1969-01-20,1974-08-09,"Richard Milhous Nixon (January 9, 1913– April 22, 1994) was the 37th president of the United States, serving from 1969 until his resignation in 1974. A member of the Republican Party, he represented California in both houses of the United States Congress before serving as the 36th vice president under President Dwight D. Eisenhower from 1953 to 1961. His presidency saw the reduction of U.S. involvement in the Vietnam War, détente with the Soviet Union and China, the Apollo 11 Moon landing, and the establishment of the Environmental Protection Agency and Occupational Safety and Health Administration. Nixon's second term ended early when he became the only U.S. president to resign from office, as a result of the Watergate scandal."
us,Q9640,Lyndon,Johnson,1908-08-27,1973-01-22,Stonewall,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1963-11-22,1969-01-20,"Lyndon Baines Johnson (August 27, 1908–January 22, 1973), also known as LBJ, was the 36th president of the United States from 1963 to 1969. Johnson was vice president under John F. Kennedy from 1961 until Kennedy's assassination in 1963, when he assumed the presidency. Before becoming vice president, he served in both houses of the U.S. Congress, representing Texas as a member of the Democratic Party."
us,Q9696,John,Kennedy,1917-05-29,1963-11-22,Brookline,https://en.wikipedia.org/wiki/John_F._Kennedy,1961-01-20,1963-11-22,"John Fitzgerald Kennedy (May 29, 1917 – November 22, 1963), also known as JFK, was the 35th president of the United States, serving from 1961 until his assassination in 1963. He was the youngest person elected president, at 43 years. Kennedy served at the height of the Cold War, and the majority of his foreign policy concerned relations with the Soviet Union and Cuba. A member of the Democratic Party, Kennedy represented Massachusetts in both houses of the United States Congress before his presidency."
us,Q9916,Dwight,Eisenhower,1890-10-14,1969-03-28,Denison,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1953-01-20,1961-01-20,"Dwight David Eisenhower (born David Dwight Eisenhower; October 14, 1890– March 28, 1969), also known as Ike, was the 34th president of the United States, serving from 1953 to 1961. A General of the Army, Eisenhower was the supreme commander of the Allied Expeditionary Force. His successful leadership in Operation Torch (1942–1943) and Operation Overlord (Jun–Aug 1944) was pivotal to the Allied victory in World War II."
us,Q9960,Ronald,Reagan,1911-02-06,2004-06-05,Tampico,https://en.wikipedia.org/wiki/Ronald_Reagan,1981-01-20,1989-01-20,"Ronald Wilson Reagan (February 6, 1911 – June 5, 2004) was an American politician and actor who served as the 40th president of the United States from 1981 to 1989. A member of the Republican Party, he became an important figure in the American conservative movement. The period encompassing his presidency is known as the Reagan era."
us,Q11613,Harry,Truman,1884-05-08,1972-12-26,Lamar,https://en.wikipedia.org/wiki/Harry_S._Truman,1945-04-12,1953-01-20,"Harry S. Truman (May 8, 1884– December 26, 1972) was the 33rd president of the United States, serving from 1945 to 1953. As the 34th vice president in 1945, he assumed the presidency upon the death of Franklin D. Roosevelt that year. Truman subsequently implemented the Marshall Plan in the aftermath of World War II to rebuild the economy of Western Europe, and established both the Truman Doctrine and NATO to contain the expansion of Soviet communism. A member of the Democratic Party, he proposed numerous New Deal coalition liberal domestic reforms, but few were enacted by the conservative coalition that dominated the United States Congress."
us,Q11806,John,Adams,,1826-07-04,Braintree,https://en.wikipedia.org/wiki/John_Adams,1797-03-04,1801-03-04,"John Adams (October 30, 1735 – July 4, 1826) was a Founding Father and the second president of the United States from 1797 to 1801. Before his presidency, he was a leader of the American Revolution that achieved independence from Great Britain. During the latter part of the Revolutionary War and in the early years of the new nation, he served the Continental Congress of the United States as a senior diplomat in Europe. Adams was the first vice president of the United States, serving from 1789 to 1797. He was a dedicated diarist and regularly corresponded with contemporaries, including his wife and advisor Abigail Adams and his friend and rival Thomas Jefferson."
us,Q11812,Thomas,Jefferson,,1826-07-04,Shadwell,https://en.wikipedia.org/wiki/Thomas_Jefferson,1801-03-04,1809-03-04,"Thomas Jefferson (April 13 , 1743 – July 4, 1826) was a Founding Father and the third president of the United States from 1801 to 1809. He was the second vice president under John Adams. Jefferson was the primary author of the Declaration of Independence, and a leading proponent of democracy, republicanism and natural rights."
us,Q11813,James,Madison,1751-03-16,1836-06-28,Port Conway,https://en.wikipedia.org/wiki/James_Madison,1809-03-04,1817-03-04,"James Madison (March 16, 1751 – June 28, 1836) was an American statesman, diplomat, and Founding Father who served as the fourth president of the United States from 1809 to 1817. Madison was popularly acclaimed as the ""Father of the Constitution"" for his pivotal role in drafting and promoting the Constitution of the United States and the Bill of Rights."
us,Q11815,James,Monroe,1758-04-28,1831-07-04,Monroe Hall,https://en.wikipedia.org/wiki/James_Monroe,1817-03-04,1825-03-04,"James Monroe (April 28, 1758– July 4, 1831) was an American Founding Father who served as the fifth president of the United States from 1817 to 1825. He was the last Founding Father to serve as president as well as the last president of the Virginia dynasty. Monroe was a member of the Democratic-Republican Party, and his presidency coincided with the Era of Good Feelings, concluding the First Party System era of American politics. He issued the Monroe Doctrine, a policy of limiting European colonialism in the Americas. Monroe had previously served as Governor of Virginia, a member of the United States Senate, U.S. ambassador to France and Britain, the seventh secretary of state, and the eighth secretary of war."
us,Q11816,John,Adams,1767-07-11,1848-02-23,Braintree,https://en.wikipedia.org/wiki/John_Quincy_Adams,1825-03-04,1829-03-04,"John Quincy Adams was the sixth president of the United States, serving from 1825 to 1829. He previously served as the eighth United States secretary of state from 1817 to 1825; minister to Great Britain, Prussia, and Russia; and senator for Massachusetts. After his presidency, Adams uniquely returned to Congress as a member of the lower house, where he died in 1848. He was the eldest son of John Adams, the second president, and First Lady Abigail Adams. Among his children were Charles Francis Adams Sr. Initially a Federalist like his father, Adams spent his presidency as a member of the Democratic-Republican Party, and later, in the mid-1830s, became affiliated with the Whig Party."
us,Q11817,Andrew,Jackson,1767-03-15,1845-06-08,Waxhaws,https://en.wikipedia.org/wiki/Andrew_Jackson,1829-03-04,1837-03-04,"Andrew Jackson (March 15, 1767 – June 8, 1845) was the seventh president of the United States from 1829 to 1837. He rose to fame as a U.S. Army general and served in both houses of the U.S. Congress. His political philosophy, which dominated his presidency, became the basis for the rise of Jacksonian democracy. His legacy is controversial: he has been praised as an advocate for white working Americans and preserving the union of states, and criticized for his racist policies, particularly towards Native Americans."
us,Q11820,Martin,Van Buren,1782-12-05,1862-07-24,Kinderhook,https://en.wikipedia.org/wiki/Martin_Van_Buren,1837-03-04,1841-03-04,"Martin Van Buren (born Maarten Van Buren, December 5, 1782– July 24, 1862) was the eighth president of the United States, serving from 1837 to 1841. Van Buren co-founded the Democratic Party with Andrew Jackson and became Jackson's vice president from 1833 to 1837."
us,Q11869,William,Harrison,1773-02-09,1841-04-04,Charles City County,https://en.wikipedia.org/wiki/William_Henry_Harrison,1841-03-04,1841-04-04,"William Henry Harrison (February 9, 1773– April 4, 1841) was the ninth president of the United States from March to April 1841. He died 31 days into his term, making him the shortest serving president and the first president to die in office. Immediately after his death, vice president John Tyler took over, ending the constitutional crisis that had been triggered by the question of presidential succession in the U.S. Constitution."
us,Q11881,John,Tyler,1790-03-29,1862-01-18,Charles City County,https://en.wikipedia.org/wiki/John_Tyler,1841-04-04,1845-03-04,"John Tyler (March 29, 1790 – January 18, 1862) was the tenth president of the United States, serving from 1841 to 1845, after briefly holding office as the tenth vice president in 1841. He was elected vice president on the 1840 Whig ticket with William Henry Harrison, succeeding to the presidency following Harrison's death 31 days after assuming office as president. Tyler was a stalwart supporter and advocate of states' rights, including regarding slavery, and he adopted nationalistic policies as president only when they did not infringe on the states' powers. His unexpected rise to the presidency posed a threat to the presidential ambitions of Senator Henry Clay and other Whig politicians and left Tyler estranged from both major political parties at the time: the Whigs and the Democrats."
us,Q11891,James,Polk,1795-11-02,1849-06-15,Pineville,https://en.wikipedia.org/wiki/James_K._Polk,1845-03-04,1849-03-04,"James Knox Polk (/poʊk/; November 2, 1795 – June 15, 1849) was the 11th president of the United States, serving from 1845 to 1849. A protégé of Andrew Jackson and a member of the Democratic Party, he was an advocate of American expansionism and Jacksonian democracy. Polk saw Texas join the Union in his first year in office, one of the precipitating causes that soon led the U.S. into the Mexican–American War. The settlement of that war expanded American territory to the Pacific Ocean. During his term, the dispute over the Oregon Territory with the United Kingdom was resolved as well, creating the present U.S.-Canadian boundary."
us,Q11896,Zachary,Taylor,1784-11-24,1850-07-09,Barboursville,https://en.wikipedia.org/wiki/Zachary_Taylor,1849-03-04,1850-07-09,"Zachary Taylor (November 24, 1784 – July 9, 1850) was the 12th president of the United States, serving from 1849 until his death in 1850. Before his presidency, Taylor was a career officer in the United States Army, rising to the rank of major general and becoming a national hero for his victories in the Mexican–American War. As a result, he won election to the White House despite his vague political beliefs. His top priority as president was to preserve the Union. He died 16 months into his term from a stomach disease. Taylor had the third-shortest presidential term in U.S. history."
us,Q12306,Millard,Fillmore,1800-01-07,1874-03-08,Summerhill,https://en.wikipedia.org/wiki/Millard_Fillmore,1850-07-09,1853-03-04,"Millard Fillmore (January 7, 1800 – March 8, 1874) was the 13th president of the United States, serving from 1850 to 1853. He was the last president to be a member of the Whig Party while in the White House, and the last to be neither a Democrat nor a Republican. A former member of the U.S. House of Representatives, Fillmore was elected vice president in 1848, and succeeded to the presidency when Zachary Taylor died in 1850. Fillmore was instrumental in passing the Compromise of 1850, which led to a brief truce in the battle over the expansion of slavery."
us,Q12312,Franklin,Pierce,1804-11-23,1869-10-08,Hillsborough,https://en.wikipedia.org/wiki/Franklin_Pierce,1853-03-04,1857-03-04,"Franklin Pierce (November 23, 1804– October 8, 1869) was the 14th president of the United States, serving from 1853 to 1857. A northern Democrat who believed that the abolitionist movement was a fundamental threat to national unity, he alienated anti-slavery groups by signing the Kansas–Nebraska Act and enforcing the Fugitive Slave Act. Conflict between North and South continued after Pierce's presidency, and, following Abraham Lincoln's victory in the 1860 presidential election, the Southern states seceded, resulting in the American Civil War."
us,Q12325,James,Buchanan,1791-04-23,1868-06-01,Stony Batter,https://en.wikipedia.org/wiki/James_Buchanan,1857-03-04,1861-03-04,"James Buchanan Jr. was the 15th president of the United States, serving from 1857 to 1861. He also served as the 17th United States secretary of state from 1845 to 1849 and represented Pennsylvania in both houses of the U.S. Congress. Buchanan was an advocate for states' rights, particularly regarding slavery, and argued for limiting the role of the federal government preceding the American Civil War."
us,Q22686,Donald,Trump,1946-06-14,,Jamaica Hospital Medical Center,https://en.wikipedia.org/wiki/Donald_Trump,2017-01-20,2021-01-20,"Donald John Trump (born June 14, 1946) is an American politician, media personality, and businessman who is the 47th president of the United States. A member of the Republican Party, he served as the 45th president from 2017 to 2021."
us,Q23505,George,Bush,1924-06-12,2018-11-30,Milton,https://en.wikipedia.org/wiki/George_H._W._Bush,1989-01-20,1993-01-20,"George Herbert Walker Bush (June 12, 1924 – November 30, 2018) was the 41st president of the United States, serving from 1989 to 1993. Bush was Ronald Reagan's vice president from 1981 to 1989. He was the father of George W. Bush, the 43rd president of the United States."
us,Q23685,Jimmy,Carter,1924-10-01,,Lillian G. Carter Nursing Center,https://en.wikipedia.org/wiki/Jimmy_Carter,1977-01-20,1981-01-20,"James Earl Carter Jr. (October 1, 1924– December 29, 2024) was an American politician and humanitarian who served as the 39th president of the United States from 1977 to 1981. A member of the Democratic Party, Carter served from 1971 to 1975 as the 76th governor of Georgia and from 1963 to 1967 in the Georgia State Senate. He lived longer than any other president in US history, reaching age 100."
us,Q33866,Theodore,Roosevelt,1858-10-27,1919-01-06,Manhattan,https://en.wikipedia.org/wiki/Theodore_Roosevelt,1901-09-14,1909-03-04,"Theodore Roosevelt Jr. (October 27, 1858– January 6, 1919) was the 26th president of the United States, serving from 1901 to 1909. Previously serving six months as vice president under William McKinley, Roosevelt became president after McKinley's assassination in 1901. He was 42 years old upon his first inauguration, making him the youngest person to hold the office."
us,Q34296,Woodrow,Wilson,1856-12-28,1924-02-03,Staunton,https://en.wikipedia.org/wiki/Woodrow_Wilson,1913-03-04,1921-03-04,"Thomas Woodrow Wilson (December 28, 1856– February 3, 1924) was the 28th president of the United States, serving from 1913 to 1921. He was the only Democrat to serve as president during the Progressive Era, when Republicans dominated the presidency and legislative branches. As president, Wilson made significant economic reforms and led the United States through World War I. He was the leading architect of the League of Nations, and his stance on foreign policy came to be known as Wilsonianism."
